trait,outcome,metric,mean,ci_low,ci_high,n
ai_access,ai_share,pearson_r,0.3961932082015271,0.36805409866649097,0.4243323177365632,20
ai_access,final_knowledge,pearson_r,0.01578305033917533,-0.013864880155516596,0.045430980833867256,20
ai_access,final_mean_peer_trust,pearson_r,-0.041511819278104725,-0.07343362679063427,-0.009590011765575182,20
ai_access,final_weighted_degree,pearson_r,-0.020025728242355777,-0.057766737724610315,0.017715281239898756,20
ai_access,hybrid_share,pearson_r,0.1648818314573236,0.13320952417104365,0.19655413874360356,20
ai_access,knowledge_gain,pearson_r,-0.0099389540185755,-0.03769665529952299,0.017818747262371988,20
ai_access,mean_quality,pearson_r,0.014937780992467464,-0.014317612442487544,0.044193174427422474,20
ai_access,peer_share,pearson_r,-0.499808477511931,-0.5295703811002682,-0.47004657392359384,20
ai_literacy,ai_share,pearson_r,0.06341531558242583,0.02819541658567265,0.09863521457917901,20
ai_literacy,final_knowledge,pearson_r,0.04837369117022202,0.012513678591163119,0.08423370374928092,20
ai_literacy,final_mean_peer_trust,pearson_r,0.020189231073303816,-0.016233419364883706,0.05661188151149134,20
ai_literacy,final_weighted_degree,pearson_r,-0.023713634760827332,-0.06768183959075993,0.020254570069105273,20
ai_literacy,hybrid_share,pearson_r,0.03173643334196995,-0.0069475009311912375,0.07042036761513112,20
ai_literacy,knowledge_gain,pearson_r,0.13187356150021673,0.09869053919763716,0.1650565838027963,20
ai_literacy,mean_quality,pearson_r,0.0530115127932342,0.016694173039141426,0.08932885254732698,20
ai_literacy,peer_share,pearson_r,-0.08536780931293632,-0.12167356226305756,-0.04906205636281507,20
initial_confidence,ai_share,pearson_r,0.009346907784438413,-0.025763198037233967,0.04445701360611079,20
initial_confidence,final_knowledge,pearson_r,-0.0035526633429136313,-0.03167433220035818,0.024569005514530916,20
initial_confidence,final_mean_peer_trust,pearson_r,-0.001297265082477898,-0.02667579543362551,0.024081265268669712,20
initial_confidence,final_weighted_degree,pearson_r,0.0005866837688271201,-0.02966219198728361,0.030835559524937852,20
initial_confidence,hybrid_share,pearson_r,-0.007943048501460723,-0.041634161089116405,0.025748064086194962,20
initial_confidence,knowledge_gain,pearson_r,0.006362132509518845,-0.020164572597425053,0.03288883761646274,20
initial_confidence,mean_quality,pearson_r,0.022448211568188717,-0.005859102219138761,0.050755525355516196,20
initial_confidence,peer_share,pearson_r,-0.003614044121944754,-0.03257691548742265,0.02534882724353314,20
initial_knowledge,ai_share,pearson_r,-0.17479779406169477,-0.2180596107015108,-0.13153597742187872,20
initial_knowledge,final_knowledge,pearson_r,0.9880568250248114,0.9873207743488606,0.9887928757007622,20
initial_knowledge,final_mean_peer_trust,pearson_r,0.881317968381491,0.8747133346812958,0.8879226020816863,20
initial_knowledge,final_weighted_degree,pearson_r,0.06741515292226685,0.035536193705811125,0.09929411213872258,20
initial_knowledge,hybrid_share,pearson_r,-0.17099485343084248,-0.20593539939323244,-0.1360543074684525,20
initial_knowledge,knowledge_gain,pearson_r,-0.9494746669184619,-0.9527628327047695,-0.9461865011321544,20
initial_knowledge,mean_quality,pearson_r,0.9757978257920821,0.9743060484686773,0.9772896031154868,20
initial_knowledge,peer_share,pearson_r,0.29134597793928874,0.25716675895022706,0.3255251969283504,20
sociability,ai_share,pearson_r,-0.3183566075896999,-0.34947781204365624,-0.2872354031357436,20
sociability,final_knowledge,pearson_r,0.04865069787856343,0.004284945676625497,0.09301645008050136,20
sociability,final_mean_peer_trust,pearson_r,0.08920806342852619,0.05718799031429123,0.12122813654276116,20
sociability,final_weighted_degree,pearson_r,0.02819154898793414,0.0010521015300468811,0.0553309964458214,20
sociability,hybrid_share,pearson_r,0.09211981952583619,0.05331301155924188,0.1309266274924305,20
sociability,knowledge_gain,pearson_r,0.06535758099524937,0.028232852156133338,0.1024823098343654,20
sociability,mean_quality,pearson_r,0.04652746138529788,0.0031308841716243055,0.08992403859897147,20
sociability,peer_share,pearson_r,0.2384549490537568,0.20725887043755664,0.26965102766995697,20
verification,ai_share,pearson_r,0.06899803093781036,0.03316601629171715,0.10483004558390357,20
verification,final_knowledge,pearson_r,0.03448110451461947,0.005371853548279078,0.06359035548095987,20
verification,final_mean_peer_trust,pearson_r,0.0011008311656188353,-0.03543609876805324,0.03763776109929091,20
verification,final_weighted_degree,pearson_r,0.016318639990826937,-0.014957611807081696,0.04759489178873557,20
verification,hybrid_share,pearson_r,0.08899239062693368,0.05616922710702699,0.12181555414684037,20
verification,knowledge_gain,pearson_r,0.08611631713797782,0.06098005290911933,0.11125258136683631,20
verification,mean_quality,pearson_r,0.043164355836320265,0.015773699650242667,0.07055501202239786,20
verification,peer_share,pearson_r,-0.13089722854238028,-0.17219298132618965,-0.08960147575857091,20
