replication,trait,outcome,pearson_r
0,initial_knowledge,peer_share,0.29298450670299153
0,initial_knowledge,ai_share,-0.024086085829082518
0,initial_knowledge,hybrid_share,-0.34254057923552406
0,initial_knowledge,mean_quality,0.9791690263884008
0,initial_knowledge,final_knowledge,0.9893943151143099
0,initial_knowledge,final_mean_peer_trust,0.8790779706948083
0,initial_knowledge,final_weighted_degree,0.11427413628983818
0,initial_knowledge,knowledge_gain,-0.9577050548246026
0,ai_literacy,peer_share,-0.12972302101097735
0,ai_literacy,ai_share,0.11432351485932114
0,ai_literacy,hybrid_share,0.025658156539095325
0,ai_literacy,mean_quality,0.08317152908249689
0,ai_literacy,final_knowledge,0.07742072172223685
0,ai_literacy,final_mean_peer_trust,0.053990665797638435
0,ai_literacy,final_weighted_degree,0.00815882053274994
0,ai_literacy,knowledge_gain,0.11472309572571585
0,sociability,peer_share,0.1531997909849717
0,sociability,ai_share,-0.3760312000309
0,sociability,hybrid_share,0.2626762898565407
0,sociability,mean_quality,-0.13341855415275922
0,sociability,final_knowledge,-0.12427512933812306
0,sociability,final_mean_peer_trust,-0.043256381118147225
0,sociability,final_weighted_degree,0.031462100747411265
0,sociability,knowledge_gain,0.182345270668165
0,verification,peer_share,-0.09718682496957279
0,verification,ai_share,0.09132170443216896
0,verification,hybrid_share,0.01232796723708877
0,verification,mean_quality,-0.04285924751347617
0,verification,final_knowledge,-0.060438513739210026
0,verification,final_mean_peer_trust,-0.11477119120232146
0,verification,final_weighted_degree,-0.07207647468965714
0,verification,knowledge_gain,0.12999459668183322
0,initial_confidence,peer_share,0.0660418749014947
0,initial_confidence,ai_share,-0.11752833588209602
0,initial_confidence,hybrid_share,0.059053725031818965
0,initial_confidence,mean_quality,-0.034873853066379565
0,initial_confidence,final_knowledge,-0.06258710534170768
0,initial_confidence,final_mean_peer_trust,-0.035434270279805946
0,initial_confidence,final_weighted_degree,0.03866775384740234
0,initial_confidence,knowledge_gain,0.022445571940790294
0,ai_access,peer_share,-0.4583193389121799
0,ai_access,ai_share,0.42421143319477106
0,ai_access,hybrid_share,0.0659760551123528
0,ai_access,mean_quality,-0.01018436798154024
0,ai_access,final_knowledge,-0.03089207996668027
0,ai_access,final_mean_peer_trust,-0.009329648172370898
0,ai_access,final_weighted_degree,-0.1438327628967266
0,ai_access,knowledge_gain,0.04892215659258471
1,initial_knowledge,peer_share,0.3516849748537978
1,initial_knowledge,ai_share,-0.3043747133082795
1,initial_knowledge,hybrid_share,-0.07915262384007973
1,initial_knowledge,mean_quality,0.9791723572141662
1,initial_knowledge,final_knowledge,0.9888190749409685
1,initial_knowledge,final_mean_peer_trust,0.8737041137056629
1,initial_knowledge,final_weighted_degree,0.1998343416198444
1,initial_knowledge,knowledge_gain,-0.9580840409127725
1,ai_literacy,peer_share,-0.13495298428679103
1,ai_literacy,ai_share,0.1155961768230298
1,ai_literacy,hybrid_share,0.032086131513479416
1,ai_literacy,mean_quality,-0.030323416298348956
1,ai_literacy,final_knowledge,-0.02358426704540698
1,ai_literacy,final_mean_peer_trust,-0.04545186362875252
1,ai_literacy,final_weighted_degree,0.07685714389525787
1,ai_literacy,knowledge_gain,0.1748474273805557
1,sociability,peer_share,0.2463849199995337
1,sociability,ai_share,-0.204268803980792
1,sociability,hybrid_share,-0.06823259518360172
1,sociability,mean_quality,0.11007881856536837
1,sociability,final_knowledge,0.11793856589111239
1,sociability,final_mean_peer_trust,0.09803744254055789
1,sociability,final_weighted_degree,0.04896779335487627
1,sociability,knowledge_gain,-0.00017401905026662062
1,verification,peer_share,-0.2262421333665875
1,verification,ai_share,0.14749759348662939
1,verification,hybrid_share,0.11973588098345957
1,verification,mean_quality,-0.022846192413662463
1,verification,final_knowledge,-0.03677522507546053
1,verification,final_mean_peer_trust,-0.09334746352205618
1,verification,final_weighted_degree,0.0935440508013484
1,verification,knowledge_gain,0.14731858733878647
