condition,ai_access_mean,ai_reliability,verification_support,peer_response_probability,replication,seed,final_peer_share,final_ai_share,final_hybrid_share,final_human_interaction_rate,final_ai_use_rate,final_mean_quality,final_success_rate,final_mean_knowledge,final_knowledge_gini,final_knowledge_rank_corr_with_initial,final_performance_gini,final_mean_ai_trust,final_mean_peer_trust,final_mean_tie_strength,final_network_density,final_mean_weighted_degree,final_recent_active_tie_fraction,final_mean_unique_peer_partners,final_mean_peer_marginal,final_mean_ai_availability_probability,initial_edge_count,final_edge_count,edge_retention_ratio,edge_count_ratio,new_edge_ratio,strong_tie_fraction,initial_mean_tie,final_mean_skill,final_skill_gini,runtime_seconds
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,0,20260821,0.5373333333333333,0.25044444444444447,0.21222222222222226,0.7495555555555555,0.46266666666666667,0.5662533025090307,0.37200000000000005,0.6277091991242494,0.09881526664754588,0.9953120510750725,0.11434560381554199,0.44912531599810085,0.5618600344657898,0.4433428764343262,0.05777032898820609,4.584422955460019,0.9395781580637363,11.139555555555555,0.014198995275841491,0.853571378658057,900,938,1.0,1.0422222222222222,0.042222222222222223,0.6769722814498934,0.5542529225349426,0.6365002553499616,0.09513191845730984,10.40377140045166
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,1,20261830,0.5453333333333333,0.23577777777777775,0.21888888888888888,0.7642222222222224,0.45466666666666666,0.5796058750592511,0.3993333333333333,0.6457802066484711,0.09662488586280336,0.993870384653728,0.11051913833871786,0.4502658837984715,0.5741863298416138,0.4434274363517761,0.05838857852265674,4.63431224960751,0.941564635748614,11.050666666666666,0.013719393983934326,0.847875775717005,900,946,1.0,1.051111111111111,0.051111111111111114,0.6638477801268499,0.5549401044845581,0.6543601095264907,0.09314209850555177,10.909519910812378
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,2,20262839,0.522,0.26422222222222225,0.21377777777777776,0.7357777777777779,0.478,0.5486272792446282,0.3271111111111111,0.6049930928681174,0.1007463541144952,0.9943748326840521,0.11658097575071916,0.45104471940368823,0.5457684183120728,0.4382290947437286,0.05864928615766605,4.600516720030043,0.9419070842325808,11.206222222222223,0.013311440467593917,0.848764325632604,900,947,1.0,1.0522222222222222,0.052222222222222225,0.6420274551214361,0.5509834885597229,0.6138787335135859,0.09717595426362258,10.146875619888306
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,3,20263848,0.542,0.23955555555555555,0.2184444444444445,0.7604444444444445,0.45799999999999996,0.5680890620975004,0.3671111111111111,0.629620997991507,0.08760763119427156,0.9943745446743913,0.10751698092892908,0.4514140316937022,0.5624711108207703,0.4381527507305145,0.05882309124767226,4.613366113238865,0.9417903590456703,11.02577777777778,0.012656178989976197,0.8468728102508746,900,950,1.0,1.0555555555555556,0.05555555555555555,0.6421052631578947,0.5510573387145996,0.6382490954649441,0.08443242675507512,10.296642780303955
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,4,20264857,0.5544444444444445,0.23244444444444443,0.21311111111111114,0.7675555555555554,0.4455555555555555,0.5586249324580362,0.352,0.6190197076002079,0.09670087021608854,0.9950740270378792,0.11505464274695931,0.4506425188334216,0.5559831643104554,0.4367277836799622,0.057949099937926754,4.530051545249091,0.9439546468992842,10.996000000000002,0.013168962051577764,0.8433292072725179,900,938,1.0,1.0422222222222222,0.042222222222222223,0.6439232409381663,0.5459277629852295,0.6277560486588032,0.09333866535042401,10.111669063568115
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,5,20265866,0.538888888888889,0.24200000000000002,0.21911111111111112,0.758,0.4611111111111111,0.5654391690927492,0.37222222222222223,0.6212231551092761,0.09659116013052964,0.9956077346031162,0.11091821126651126,0.45183763211680444,0.5576710820198059,0.43651832699775694,0.05808814400993173,4.538624379952749,0.9496934969679011,11.057333333333334,0.01309714594155666,0.8489692882904448,900,941,1.0,1.0455555555555556,0.04555555555555556,0.6365568544102019,0.5463204383850098,0.6300132317456179,0.09320563936625259,10.30284833908081
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,6,20266875,0.5346666666666667,0.2535555555555556,0.21177777777777776,0.7464444444444446,0.4653333333333333,0.5667430354428737,0.37133333333333335,0.6287714727990195,0.09541630411214656,0.9945193613354667,0.11148066355466549,0.4522233560131009,0.5604157018661499,0.43898318767547606,0.058487895716945994,4.595725961049398,0.9445601201812899,11.157333333333334,0.014031107786597942,0.84982651077291,900,947,1.0,1.0522222222222222,0.052222222222222225,0.6504751847940866,0.550755500793457,0.6374911385570576,0.09203775285408922,10.242021322250366
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,7,20267884,0.542,0.23555555555555555,0.22244444444444444,0.7644444444444445,0.45799999999999996,0.564415298625391,0.37355555555555553,0.6239417217328425,0.09984583728225402,0.9944580881004613,0.11687313996456433,0.4505754188927228,0.5598792171478272,0.43852880477905276,0.058532588454376165,4.594548700703515,0.9396763684530508,11.210666666666667,0.013116993480991055,0.8472957558669358,900,946,1.0,1.051111111111111,0.051111111111111114,0.645877378435518,0.5503920912742615,0.632659184925249,0.0963963483473218,10.617671489715576
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,8,20268893,0.5162222222222222,0.2528888888888889,0.2308888888888889,0.7471111111111111,0.48377777777777775,0.5641588787807401,0.36888888888888893,0.6247241930830646,0.09785457958210568,0.9928194661439862,0.11308881851875639,0.45153278155542365,0.5598348569869995,0.4386774730682373,0.05810055865921788,4.562103943241968,0.9317575295165791,11.104000000000001,0.013946651938077714,0.8522670537316809,900,939,1.0,1.0433333333333332,0.043333333333333335,0.6357827476038339,0.5488340258598328,0.633462481229657,0.09438819109671548,10.509905815124512
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,9,20269902,0.538,0.24488888888888888,0.21711111111111112,0.7551111111111111,0.46199999999999997,0.5679091997488829,0.37266666666666665,0.6311175543647725,0.08638184638260998,0.9930045242270954,0.10681992326141274,0.4517101003346604,0.5618390369415284,0.4363529908657074,0.05911607697082557,4.617305328051248,0.943249225054724,11.281333333333334,0.013225233438328427,0.8573134107761574,900,955,1.0,1.0611111111111111,0.06111111111111111,0.6282722513089005,0.5498554706573486,0.6397532676301205,0.08334040727526548,10.223212242126465
