condition,ai_access_mean,ai_reliability,verification_support,peer_response_probability,metric,mean,ci_low,ci_high,n
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,final_peer_share,0.5354777777777778,0.5312674190471047,0.5396881365084509,20
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,final_ai_share,0.24594444444444444,0.24195463566440165,0.24993425322448723,20
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,final_hybrid_share,0.2185777777777777,0.2154779276921757,0.22167762786337972,20
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,final_human_interaction_rate,0.7540555555555556,0.7500657467755129,0.7580453643355983,20
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,final_ai_use_rate,0.46452222222222206,0.4603118634915489,0.4687325809528952,20
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,final_mean_quality,0.5649103685952677,0.5613810617084971,0.5684396754820382,20
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,final_success_rate,0.3681,0.3587670312927091,0.3774329687072909,20
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,final_mean_knowledge,0.6256463246549215,0.6211880731158553,0.6301045761939877,20
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,final_knowledge_gini,0.09366444048780179,0.09138533588705164,0.09594354508855193,20
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,final_knowledge_rank_corr_with_initial,0.9940889201295378,0.9936406909164568,0.9945371493426187,20
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,final_performance_gini,0.1118192984512538,0.11048570511803027,0.11315289178447732,20
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,final_mean_ai_trust,0.45098469930617197,0.4506016369223217,0.45136776169002224,20
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,final_mean_peer_trust,0.5599157216548919,0.5568877950368007,0.562943648272983,20
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,final_mean_tie_strength,0.4388833107352257,0.43776745398307054,0.4399991674873808,20
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,final_network_density,0.05823674736188696,0.058064727112564954,0.05840876761120897,20
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,final_mean_weighted_degree,4.5749079136610025,4.560631712882453,4.5891841144395515,20
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,final_recent_active_tie_fraction,0.9410662235921252,0.9390133867551839,0.9431190604290666,20
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,final_mean_unique_peer_partners,11.099644444444445,11.056582248393703,11.142706640495188,20
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,final_mean_peer_marginal,0.013153302035547241,0.012863813841696006,0.013442790229398476,20
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,final_mean_ai_availability_probability,0.8494877172357016,0.8476588382364048,0.8513165962349984,20
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,edge_retention_ratio,1.0,1.0,1.0,20
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,edge_count_ratio,1.0468333333333333,1.0439146288219938,1.0497520378446727,20
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,new_edge_ratio,0.046833333333333296,0.0439146288219939,0.04975203784467269,20
A0.35_R0.55_V0.30_P0.60,0.35,0.55,0.3,0.6,strong_tie_fraction,0.6507743144204664,0.6436991795385257,0.6578494493024071,20
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,final_peer_share,0.5379,0.5336333361678525,0.5421666638321476,20
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,final_ai_share,0.24075555555555547,0.23693194033443657,0.24457917077667438,20
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,final_hybrid_share,0.22134444444444443,0.21808837134659198,0.22460051754229687,20
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,final_human_interaction_rate,0.7592444444444445,0.7554208292233257,0.7630680596655633,20
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,final_ai_use_rate,0.46210000000000007,0.45783333616785243,0.4663666638321477,20
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,final_mean_quality,0.564960514726544,0.5610938338283948,0.5688271956246931,20
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,final_success_rate,0.3663333333333333,0.35551418487525105,0.37715248179141553,20
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,final_mean_knowledge,0.6258057597417894,0.6213200269994682,0.6302914924841106,20
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,final_knowledge_gini,0.09361937418699799,0.09133930968964901,0.09589943868434697,20
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,final_knowledge_rank_corr_with_initial,0.9940863943526963,0.9937533949449231,0.9944193937604695,20
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,final_performance_gini,0.1119451561804327,0.11076656653865802,0.11312374582220738,20
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,final_mean_ai_trust,0.4513443421134541,0.45084775825638124,0.45184092597052694,20
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,final_mean_peer_trust,0.5609968860149384,0.5578693948628599,0.5641243771670168,20
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,final_mean_tie_strength,0.4413963052630425,0.440200606273178,0.44259200425290707,20
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,final_network_density,0.05724072004965856,0.05711979244563016,0.057361647653686954,20
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,final_mean_weighted_degree,4.522455628493097,4.511318764510355,4.533592492475838,20
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,final_recent_active_tie_fraction,0.9440063009731052,0.9417084360846047,0.9463041658616057,20
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,final_mean_unique_peer_partners,10.683911111111112,10.639291684732557,10.728530537489666,20
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,final_mean_peer_marginal,0.013227019400701492,0.012871308596261507,0.013582730205141478,20
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,final_mean_ai_availability_probability,0.8494877172357016,0.8476588382364048,0.8513165962349984,20
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,edge_retention_ratio,1.0,1.0,1.0,20
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,edge_count_ratio,1.0274444444444444,1.025087857082191,1.0298010318066977,20
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,new_edge_ratio,0.027444444444444393,0.02508785708219114,0.029801031806697645,20
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,strong_tie_fraction,0.6659712592875009,0.6590458394515909,0.6728966791234109,20
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,final_peer_share,0.5191555555555556,0.5140044978651883,0.5243066132459229,20
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,final_ai_share,0.2496333333333333,0.24563876161393175,0.25362790505273486,20
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,final_hybrid_share,0.23121111111111112,0.22728290549038277,0.23513931673183947,20
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,final_human_interaction_rate,0.7503666666666666,0.7463720949472651,0.7543612383860682,20
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,final_ai_use_rate,0.48084444444444435,0.4756933867540771,0.48599550213481163,20
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,final_mean_quality,0.5670771137953855,0.563715865976902,0.570438361613869,20
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,final_success_rate,0.37204444444444446,0.36301461336290364,0.3810742755259853,20
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,final_mean_knowledge,0.6262360148719862,0.6217697471126549,0.6307022826313176,20
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,final_knowledge_gini,0.09329983576967774,0.09097869317416177,0.0956209783651937,20
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,final_knowledge_rank_corr_with_initial,0.9940232055349394,0.9935581726216317,0.9944882384482471,20
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,final_performance_gini,0.11120146975066161,0.11001963571661341,0.11238330378470981,20
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,final_mean_ai_trust,0.4512523870292525,0.4507089603609301,0.45179581369757493,20
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,final_mean_peer_trust,0.5599274668693542,0.5568223210707246,0.5630326126679839,20
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,final_mean_tie_strength,0.4386869024634361,0.4375473155353782,0.43982648939149405,20
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,final_network_density,0.058221849782743584,0.058006270326305474,0.058437429239181694,20
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,final_mean_weighted_degree,4.571690197610854,4.5556200392768655,4.587760355944843,20
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,final_recent_active_tie_fraction,0.9392646497094909,0.9367992045532703,0.9417300948657115,20
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,final_mean_unique_peer_partners,11.090288888888889,11.049687419035887,11.13089035874189,20
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,final_mean_peer_marginal,0.012929216733938844,0.012616862074705084,0.013241571393172604,20
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,final_mean_ai_availability_probability,0.8494877172357016,0.8476588382364048,0.8513165962349984,20
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,edge_retention_ratio,1.0,1.0,1.0,20
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,edge_count_ratio,1.0451666666666666,1.0411910091038739,1.0491423242294593,20
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,new_edge_ratio,0.04516666666666662,0.041191009103873834,0.049142324229459404,20
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,strong_tie_fraction,0.651696865220914,0.6450524824435675,0.6583412479982604,20
A0.35_R0.55_V0.70_P0.90,0.35,0.55,0.7,0.9,final_peer_share,0.5245444444444444,0.5183795640364544,0.5307093248524344,20
A0.35_R0.55_V0.70_P0.90,0.35,0.55,0.7,0.9,final_ai_share,0.2458333333333333,0.24081639502966518,0.2508502716370014,20
A0.35_R0.55_V0.70_P0.90,0.35,0.55,0.7,0.9,final_hybrid_share,0.22962222222222223,0.2268180716064709,0.23242637283797354,20
A0.35_R0.55_V0.70_P0.90,0.35,0.55,0.7,0.9,final_human_interaction_rate,0.7541666666666667,0.7491497283629985,0.7591836049703348,20
A0.35_R0.55_V0.70_P0.90,0.35,0.55,0.7,0.9,final_ai_use_rate,0.47545555555555563,0.4692906751475656,0.48162043596354565,20
A0.35_R0.55_V0.70_P0.90,0.35,0.55,0.7,0.9,final_mean_quality,0.567620309707821,0.5640722019105286,0.5711684175051133,20
A0.35_R0.55_V0.70_P0.90,0.35,0.55,0.7,0.9,final_success_rate,0.37303333333333333,0.3633284958974348,0.38273817076923183,20
A0.35_R0.55_V0.70_P0.90,0.35,0.55,0.7,0.9,final_mean_knowledge,0.6265165103684348,0.6220457939787235,0.6309872267581461,20
A0.35_R0.55_V0.70_P0.90,0.35,0.55,0.7,0.9,final_knowledge_gini,0.09305164850399181,0.09074783074778056,0.09535546626020305,20
A0.35_R0.55_V0.70_P0.90,0.35,0.55,0.7,0.9,final_knowledge_rank_corr_with_initial,0.9939232025736351,0.9935177378806048,0.9943286672666654,20
A0.35_R0.55_V0.70_P0.90,0.35,0.55,0.7,0.9,final_performance_gini,0.11154564155449924,0.11035131444654461,0.11273996866245387,20
A0.35_R0.55_V0.70_P0.90,0.35,0.55,0.7,0.9,final_mean_ai_trust,0.45134806252868953,0.45078552121928656,0.4519106038380925,20
A0.35_R0.55_V0.70_P0.90,0.35,0.55,0.7,0.9,final_mean_peer_trust,0.5609602711200715,0.5579179438349166,0.5640025984052265,20
A0.35_R0.55_V0.70_P0.90,0.35,0.55,0.7,0.9,final_mean_tie_strength,0.4410734692215919,0.4398876667012311,0.44225927174195273,20
A0.35_R0.55_V0.70_P0.90,0.35,0.55,0.7,0.9,final_network_density,0.05735754189944131,0.05726177501480932,0.0574533087840733,20
A0.35_R0.55_V0.70_P0.90,0.35,0.55,0.7,0.9,final_mean_weighted_degree,4.52838207915359,4.517021474266552,4.539742684040628,20
A0.35_R0.55_V0.70_P0.90,0.35,0.55,0.7,0.9,final_recent_active_tie_fraction,0.941408791635439,0.9393430787873316,0.9434745044835464,20
A0.35_R0.55_V0.70_P0.90,0.35,0.55,0.7,0.9,final_mean_unique_peer_partners,10.700822222222223,10.657969434387132,10.743675010057315,20
A0.35_R0.55_V0.70_P0.90,0.35,0.55,0.7,0.9,final_mean_peer_marginal,0.013128536343290587,0.01278328024812979,0.013473792438451383,20
A0.35_R0.55_V0.70_P0.90,0.35,0.55,0.7,0.9,final_mean_ai_availability_probability,0.8494877172357016,0.8476588382364048,0.8513165962349984,20
A0.35_R0.55_V0.70_P0.90,0.35,0.55,0.7,0.9,edge_retention_ratio,1.0,1.0,1.0,20
A0.35_R0.55_V0.70_P0.90,0.35,0.55,0.7,0.9,edge_count_ratio,1.029277777777778,1.027148517675044,1.031407037880512,20
A0.35_R0.55_V0.70_P0.90,0.35,0.55,0.7,0.9,new_edge_ratio,0.029277777777777726,0.027148517675043688,0.03140703788051176,20
A0.35_R0.55_V0.70_P0.90,0.35,0.55,0.7,0.9,strong_tie_fraction,0.6641951805609048,0.6562477778554784,0.6721425832663311,20
A0.35_R0.74_V0.30_P0.60,0.35,0.74,0.3,0.6,final_peer_share,0.4847555555555555,0.4811846177728028,0.4883264933383082,20
A0.35_R0.74_V0.30_P0.60,0.35,0.74,0.3,0.6,final_ai_share,0.2926888888888889,0.2891710357745067,0.2962067420032711,20
A0.35_R0.74_V0.30_P0.60,0.35,0.74,0.3,0.6,final_hybrid_share,0.22255555555555548,0.22014357330782963,0.22496753780328133,20
A0.35_R0.74_V0.30_P0.60,0.35,0.74,0.3,0.6,final_human_interaction_rate,0.7073111111111111,0.703793257996729,0.7108289642254932,20
A0.35_R0.74_V0.30_P0.60,0.35,0.74,0.3,0.6,final_ai_use_rate,0.5152444444444444,0.5116735066616916,0.5188153822271971,20
A0.35_R0.74_V0.30_P0.60,0.35,0.74,0.3,0.6,final_mean_quality,0.5824402489074356,0.5794651745102318,0.5854153233046394,20
A0.35_R0.74_V0.30_P0.60,0.35,0.74,0.3,0.6,final_success_rate,0.41056666666666664,0.4015685484390506,0.41956478489428267,20
A0.35_R0.74_V0.30_P0.60,0.35,0.74,0.3,0.6,final_mean_knowledge,0.6395307446878365,0.6353898200633885,0.6436716693122846,20
A0.35_R0.74_V0.30_P0.60,0.35,0.74,0.3,0.6,final_knowledge_gini,0.0846529250087636,0.08256009231217466,0.08674575770535255,20
A0.35_R0.74_V0.30_P0.60,0.35,0.74,0.3,0.6,final_knowledge_rank_corr_with_initial,0.9915320987706426,0.9909237135632117,0.9921404839780735,20
A0.35_R0.74_V0.30_P0.60,0.35,0.74,0.3,0.6,final_performance_gini,0.10276459293056603,0.10164055741545683,0.10388862844567523,20
A0.35_R0.74_V0.30_P0.60,0.35,0.74,0.3,0.6,final_mean_ai_trust,0.5691366747009295,0.5685834547727899,0.5696898946290692,20
A0.35_R0.74_V0.30_P0.60,0.35,0.74,0.3,0.6,final_mean_peer_trust,0.5646049760580063,0.5616773141759288,0.5675326379400838,20
A0.35_R0.74_V0.30_P0.60,0.35,0.74,0.3,0.6,final_mean_tie_strength,0.4368741602897644,0.4356392993488083,0.4381090212307205,20
A0.35_R0.74_V0.30_P0.60,0.35,0.74,0.3,0.6,final_network_density,0.05740819366852882,0.057254090075940824,0.057562297261116814,20
A0.35_R0.74_V0.30_P0.60,0.35,0.74,0.3,0.6,final_mean_weighted_degree,4.489183180242113,4.478591373531305,4.4997749869529216,20
A0.35_R0.74_V0.30_P0.60,0.35,0.74,0.3,0.6,final_recent_active_tie_fraction,0.9306234120502129,0.9283154979561827,0.9329313261442431,20
A0.35_R0.74_V0.30_P0.60,0.35,0.74,0.3,0.6,final_mean_unique_peer_partners,10.991044444444444,10.94710667136892,11.03498221751997,20
A0.35_R0.74_V0.30_P0.60,0.35,0.74,0.3,0.6,final_mean_peer_marginal,0.009366559994922943,0.009003943540571284,0.009729176449274601,20
A0.35_R0.74_V0.30_P0.60,0.35,0.74,0.3,0.6,final_mean_ai_availability_probability,0.8494877172357016,0.8476588382364048,0.8513165962349984,20
A0.35_R0.74_V0.30_P0.60,0.35,0.74,0.3,0.6,edge_retention_ratio,1.0,1.0,1.0,20
A0.35_R0.74_V0.30_P0.60,0.35,0.74,0.3,0.6,edge_count_ratio,1.029611111111111,1.026801732532436,1.0324204896897862,20
A0.35_R0.74_V0.30_P0.60,0.35,0.74,0.3,0.6,new_edge_ratio,0.02961111111111107,0.02680173253243595,0.03242048968978619,20
A0.35_R0.74_V0.30_P0.60,0.35,0.74,0.3,0.6,strong_tie_fraction,0.6441319695026341,0.6365974833820773,0.6516664556231908,20
A0.35_R0.74_V0.30_P0.90,0.35,0.74,0.3,0.9,final_peer_share,0.48673333333333335,0.4804670944535561,0.4929995722131106,20
A0.35_R0.74_V0.30_P0.90,0.35,0.74,0.3,0.9,final_ai_share,0.29084444444444435,0.28545181655987034,0.29623707232901836,20
A0.35_R0.74_V0.30_P0.90,0.35,0.74,0.3,0.9,final_hybrid_share,0.22242222222222222,0.2196110153940201,0.22523342905042434,20
A0.35_R0.74_V0.30_P0.90,0.35,0.74,0.3,0.9,final_human_interaction_rate,0.7091555555555555,0.7037629276709815,0.7145481834401296,20
A0.35_R0.74_V0.30_P0.90,0.35,0.74,0.3,0.9,final_ai_use_rate,0.5132666666666666,0.5070004277868894,0.5195329055464439,20
A0.35_R0.74_V0.30_P0.90,0.35,0.74,0.3,0.9,final_mean_quality,0.5824947087274516,0.57924145465977,0.5857479627951332,20
A0.35_R0.74_V0.30_P0.90,0.35,0.74,0.3,0.9,final_success_rate,0.41163333333333335,0.40217633676857545,0.42109032989809125,20
A0.35_R0.74_V0.30_P0.90,0.35,0.74,0.3,0.9,final_mean_knowledge,0.6396626964019629,0.6355321868555774,0.6437932059483484,20
A0.35_R0.74_V0.30_P0.90,0.35,0.74,0.3,0.9,final_knowledge_gini,0.08471203202504896,0.08260279490542174,0.08682126914467617,20
A0.35_R0.74_V0.30_P0.90,0.35,0.74,0.3,0.9,final_knowledge_rank_corr_with_initial,0.9913992597982318,0.9908883081712536,0.9919102114252101,20
