replication,mode,experience_signal,next_probability_same_route,repeat_same_route,n_events
0,AI-first,Better than expected,0.4219762345359492,0.41928632115548004,4708
0,AI-first,Near expectation,0.4012573530485802,0.3864734299516908,1242
0,AI-first,Worse than expected,0.3810461491230905,0.37325,4000
0,Hybrid,Better than expected,0.2902361261551293,0.2894017613118737,3293
0,Hybrid,Near expectation,0.26587009142251955,0.2452153110047847,836
0,Hybrid,Worse than expected,0.2577170160927033,0.24880382775119617,2717
0,Peer-first,Better than expected,0.4053615459900755,0.39499455930359084,4595
0,Peer-first,Near expectation,0.39376364854799367,0.3944223107569721,1255
0,Peer-first,Worse than expected,0.3689898857330537,0.3689040377556371,3814
1,AI-first,Better than expected,0.408020229993018,0.4196251378169791,4535
1,AI-first,Near expectation,0.37899716806144546,0.3728668941979522,1172
1,AI-first,Worse than expected,0.368644744906533,0.36356425171866735,3782
1,Hybrid,Better than expected,0.29175569761057957,0.29927007299270075,3288
1,Hybrid,Near expectation,0.27478554566028246,0.2898203592814371,835
1,Hybrid,Worse than expected,0.26538595916813795,0.27168073676132004,2606
1,Peer-first,Better than expected,0.4350211762286855,0.4436762911752745,4918
1,Peer-first,Near expectation,0.41239476300390343,0.4254016832440704,1307
1,Peer-first,Worse than expected,0.38956447577681635,0.3781428927059995,4017
2,AI-first,Better than expected,0.42775092705651063,0.4338939748775814,4697
2,AI-first,Near expectation,0.4053950153045553,0.4080645161290323,1240
2,AI-first,Worse than expected,0.38542620601198374,0.3844311377245509,4175
2,Hybrid,Better than expected,0.2930089440780915,0.29845572013867006,3173
2,Hybrid,Near expectation,0.2736998419748448,0.2827586206896552,870
2,Hybrid,Worse than expected,0.2631133170294762,0.2701715954728003,2739
2,Peer-first,Better than expected,0.40783213856860456,0.4150651645681467,4527
2,Peer-first,Near expectation,0.3884538171673705,0.367595818815331,1148
2,Peer-first,Worse than expected,0.36571530027303667,0.3600616808018504,3891
3,AI-first,Better than expected,0.41448650668284337,0.4082035534108357,4559
3,AI-first,Near expectation,0.38969855692035366,0.3784829721362229,1292
3,AI-first,Worse than expected,0.37348354056542443,0.3724190670405302,3923
3,Hybrid,Better than expected,0.2888617512968568,0.28403100775193796,3225
3,Hybrid,Near expectation,0.2724870444768335,0.2629674306393245,829
3,Hybrid,Worse than expected,0.2574233678834234,0.2687642153146323,2638
3,Peer-first,Better than expected,0.4126162849817215,0.4117030201342282,4768
3,Peer-first,Near expectation,0.3941532116749476,0.39314194577352474,1254
3,Peer-first,Worse than expected,0.3794979804850454,0.38796576032225577,3972
4,AI-first,Better than expected,0.41209512192611847,0.4110915492957746,4544
4,AI-first,Near expectation,0.39317591859716067,0.41596638655462187,1190
4,AI-first,Worse than expected,0.3735751243321591,0.3700884086444008,4072
4,Hybrid,Better than expected,0.28989333169441134,0.2976567447751742,3158
4,Hybrid,Near expectation,0.2717310675633035,0.2553191489361702,846
4,Hybrid,Worse than expected,0.25757845094374476,0.26490825688073394,2616
4,Peer-first,Better than expected,0.4274347480378114,0.4298812252552615,4799
4,Peer-first,Near expectation,0.40214773031920714,0.3857740585774059,1195
4,Peer-first,Worse than expected,0.38329204817390333,0.37896039603960396,4040
5,AI-first,Better than expected,0.4150857360462771,0.4103804706399824,4547
5,AI-first,Near expectation,0.3862848555110194,0.38545150501672243,1196
5,AI-first,Worse than expected,0.37880583925862044,0.3896006028636021,3981
5,Hybrid,Better than expected,0.2894640994212696,0.3034017775053632,3263
5,Hybrid,Near expectation,0.2717871620814411,0.2779874213836478,795
5,Hybrid,Worse than expected,0.2583150993879119,0.24851632047477745,2696
5,Peer-first,Better than expected,0.4198548109045817,0.4263402279442803,4738
5,Peer-first,Near expectation,0.4038825259345155,0.4276827371695179,1286
5,Peer-first,Worse than expected,0.38222680792114005,0.38100050530570995,3958
