system,episode,metric,mean,ci_low,ci_high,n
AI-enabled,1,peer_share,0.3835185185185184,0.3732759373149708,0.3937610997220661,30
AI-enabled,1,ai_share,0.3487037037037037,0.33559845002259714,0.3618089573848102,30
AI-enabled,1,hybrid_share,0.2677777777777778,0.25784534916276375,0.2777102063927918,30
AI-enabled,1,human_interaction_rate,0.6512962962962962,0.6381910426151896,0.6644015499774028,30
AI-enabled,1,ai_use_rate,0.6164814814814815,0.6062389002779338,0.6267240626850292,30
AI-enabled,1,mean_quality,0.5033523269242796,0.5000709345465281,0.506633719302031,30
AI-enabled,1,success_rate,0.2237037037037037,0.213793212012322,0.23361419539508543,30
AI-enabled,1,mean_knowledge,0.5198511628616236,0.5162003094287537,0.5235020162944934,30
AI-enabled,1,knowledge_rank_corr_with_initial,0.9999933920451602,0.999992941617789,0.9999938424725315,30
AI-enabled,1,mean_ai_trust,0.5053275187586077,0.5035377111087467,0.5071173264084687,30
AI-enabled,1,mean_peer_trust,0.500516825914383,0.5000578264089488,0.5009758254198171,30
AI-enabled,1,mean_tie_strength,0.549062438805898,0.5477931991486251,0.5503316784631709,30
AI-enabled,1,network_density,0.05588454376163862,0.055873740442978215,0.05589534708029903,30
AI-enabled,1,mean_weighted_degree,5.49244676872536,5.480194286208733,5.504699251241987,30
AI-enabled,1,recent_active_tie_fraction,0.12569848316685162,0.12311483209474654,0.1282821342389567,30
AI-enabled,1,mean_unique_peer_partners,1.2611111111111108,1.2351037009190367,1.287118521303185,30
AI-enabled,1,mean_peer_marginal,0.006037722339310663,0.005081208182795639,0.006994236495825686,30
AI-enabled,1,ai_reliability,0.7800000000000001,0.7800000000000001,0.7800000000000001,30
AI-enabled,2,peer_share,0.38074074074074077,0.3677372258421615,0.39374425563932003,30
AI-enabled,2,ai_share,0.34388888888888897,0.32641029550068956,0.36136748227708837,30
AI-enabled,2,hybrid_share,0.2753703703703704,0.26315596897139587,0.2875847717693449,30
AI-enabled,2,human_interaction_rate,0.6561111111111111,0.6386325177229117,0.6735897044993104,30
AI-enabled,2,ai_use_rate,0.6192592592592593,0.6062557443606801,0.6322627741578385,30
AI-enabled,2,mean_quality,0.5023019024440305,0.4972573987067551,0.5073464061813059,30
AI-enabled,2,success_rate,0.22796296296296295,0.21321867451495966,0.24270725141096625,30
AI-enabled,2,mean_knowledge,0.5209282587368833,0.5172804664636593,0.5245760510101073,30
AI-enabled,2,knowledge_rank_corr_with_initial,0.9999856652211709,0.9999848832631514,0.9999864471791905,30
AI-enabled,2,mean_ai_trust,0.5119133833027816,0.5102670467684208,0.5135597198371423,30
AI-enabled,2,mean_peer_trust,0.5006817887226741,0.5002344943408691,0.5011290831044791,30
AI-enabled,2,mean_tie_strength,0.548091055949529,0.5468277109025771,0.5493544009964809,30
AI-enabled,2,network_density,0.05589902751913915,0.05588578454733472,0.055912270490943584,30
AI-enabled,2,mean_weighted_degree,5.484151884847219,5.471861803071558,5.49644196662288,30
AI-enabled,2,recent_active_tie_fraction,0.23585857309822553,0.23167052219754242,0.24004662399890864,30
AI-enabled,2,mean_unique_peer_partners,2.368148148148148,2.3257285703853956,2.4105677259109006,30
AI-enabled,2,mean_peer_marginal,0.00542404364634984,0.004792815955983467,0.006055271336716213,30
AI-enabled,2,ai_reliability,0.7800000000000001,0.7800000000000001,0.7800000000000001,30
AI-enabled,3,peer_share,0.36648148148148146,0.3531873567177833,0.37977560624517964,30
AI-enabled,3,ai_share,0.3631481481481481,0.350863483479694,0.37543281281660223,30
AI-enabled,3,hybrid_share,0.2703703703703703,0.25839336294957327,0.28234737779116736,30
AI-enabled,3,human_interaction_rate,0.6368518518518519,0.6245671871833978,0.649136516520306,30
AI-enabled,3,ai_use_rate,0.6335185185185187,0.6202243937548205,0.6468126432822169,30
AI-enabled,3,mean_quality,0.5047250554408412,0.501103205969195,0.5083469049124875,30
AI-enabled,3,success_rate,0.23407407407407405,0.22181056712182914,0.24633758102631895,30
AI-enabled,3,mean_knowledge,0.5220178633001347,0.5183756739253187,0.5256600526749506,30
AI-enabled,3,knowledge_rank_corr_with_initial,0.9999760741235085,0.9999747608580071,0.99997738738901,30
AI-enabled,3,mean_ai_trust,0.5180968846982703,0.5166413654477496,0.519552403948791,30
AI-enabled,3,mean_peer_trust,0.5008506049712499,0.5003956551531111,0.5013055547893887,30
AI-enabled,3,mean_tie_strength,0.5471389810244243,0.5458756745481662,0.5484022875006823,30
AI-enabled,3,network_density,0.055907303951996605,0.05589198538703319,0.05592262251696002,30
AI-enabled,3,mean_weighted_degree,5.475434846171626,5.4631958099802125,5.4876738823630395,30
AI-enabled,3,recent_active_tie_fraction,0.33042019428804126,0.3260821164499072,0.3347582721261753,30
AI-enabled,3,mean_unique_peer_partners,3.319259259259259,3.2752571955952803,3.363261322923238,30
AI-enabled,3,mean_peer_marginal,0.0051366497266606735,0.004316361886765749,0.005956937566555598,30
AI-enabled,3,ai_reliability,0.7800000000000001,0.7800000000000001,0.7800000000000001,30
AI-enabled,4,peer_share,0.3668518518518518,0.35304305381081325,0.3806606498928904,30
AI-enabled,4,ai_share,0.36333333333333334,0.35074892344408376,0.3759177432225829,30
AI-enabled,4,hybrid_share,0.26981481481481484,0.25737171955427,0.28225791007535966,30
AI-enabled,4,human_interaction_rate,0.6366666666666666,0.624082256777417,0.6492510765559162,30
AI-enabled,4,ai_use_rate,0.6331481481481482,0.6193393501071097,0.6469569461891868,30
AI-enabled,4,mean_quality,0.50435779994058,0.5007263956688682,0.5079892042122919,30
AI-enabled,4,success_rate,0.22925925925925922,0.21710270353803043,0.241415814980488,30
AI-enabled,4,mean_knowledge,0.5231053931475095,0.5194627795044454,0.5267480067905735,30
AI-enabled,4,knowledge_rank_corr_with_initial,0.9999651539142422,0.9999632369013421,0.9999670709271423,30
AI-enabled,4,mean_ai_trust,0.5237304833469668,0.5222825186869252,0.5251784480070084,30
AI-enabled,4,mean_peer_trust,0.5010245869557063,0.5005699301075193,0.5014792438038933,30
AI-enabled,4,mean_tie_strength,0.5461762428283692,0.5449097548797858,0.5474427307769526,30
AI-enabled,4,network_density,0.05591971860128276,0.0559017302264805,0.05593770697608502,30
AI-enabled,4,mean_weighted_degree,5.4670120671943385,5.454829328599055,5.479194805789622,30
AI-enabled,4,recent_active_tie_fraction,0.4136029411557007,0.40941970198742567,0.4177861803239757,30
AI-enabled,4,mean_unique_peer_partners,4.1537037037037035,4.110709405077907,4.1966980023295,30
AI-enabled,4,mean_peer_marginal,0.005643025317080723,0.004767365528625805,0.006518685105535641,30
AI-enabled,4,ai_reliability,0.7800000000000001,0.7800000000000001,0.7800000000000001,30
AI-enabled,5,peer_share,0.3716666666666667,0.35692372022503277,0.38640961310830063,30
AI-enabled,5,ai_share,0.36537037037037035,0.3507149179354059,0.3800258228053348,30
AI-enabled,5,hybrid_share,0.2629629629629629,0.25092416489601693,0.27500176102990886,30
AI-enabled,5,human_interaction_rate,0.6346296296296298,0.6199741771946653,0.6492850820645942,30
AI-enabled,5,ai_use_rate,0.6283333333333334,0.6135903868916994,0.6430762797749674,30
AI-enabled,5,mean_quality,0.5066909119075667,0.5023408519601357,0.5110409718549976,30
AI-enabled,5,success_rate,0.23666666666666666,0.222350121363372,0.2509832119699613,30
AI-enabled,5,mean_knowledge,0.5241902556675916,0.5205529857097817,0.5278275256254015,30
AI-enabled,5,knowledge_rank_corr_with_initial,0.999953419121273,0.9999506570679749,0.9999561811745711,30
AI-enabled,5,mean_ai_trust,0.5288385487396761,0.527562566023514,0.5301145314558381,30
AI-enabled,5,mean_peer_trust,0.5012176464001338,0.5007697329347476,0.50166555986552,30
AI-enabled,5,mean_tie_strength,0.5452403664588928,0.5439749529256557,0.54650577999213,30
AI-enabled,5,network_density,0.05592592592592584,0.05590621751507995,0.05594563433677172,30
AI-enabled,5,mean_weighted_degree,5.458249206807878,5.446107368673709,5.470391044942047,30
AI-enabled,5,recent_active_tie_fraction,0.48492143975144125,0.4811672351384898,0.4886756443643927,30
AI-enabled,5,mean_unique_peer_partners,4.8711111111111105,4.830729366146759,4.911492856075462,30
AI-enabled,5,mean_peer_marginal,0.006373186357319866,0.005433462133725101,0.00731291058091463,30
AI-enabled,5,ai_reliability,0.7800000000000001,0.7800000000000001,0.7800000000000001,30
AI-enabled,6,peer_share,0.3766666666666666,0.36416744744382457,0.3891658858895086,30
AI-enabled,6,ai_share,0.3616666666666667,0.3477309278482742,0.3756024054850592,30
AI-enabled,6,hybrid_share,0.2616666666666666,0.24504983861555224,0.27828349471778097,30
AI-enabled,6,human_interaction_rate,0.6383333333333333,0.6243975945149408,0.6522690721517258,30
AI-enabled,6,ai_use_rate,0.6233333333333333,0.6108341141104913,0.6358325525561753,30
AI-enabled,6,mean_quality,0.5063186624094084,0.5028023369301267,0.5098349878886901,30
AI-enabled,6,success_rate,0.23055555555555557,0.21888711055454121,0.24222400055656992,30
AI-enabled,6,mean_knowledge,0.5252731729647896,0.5216430427769911,0.528903303152588,30
AI-enabled,6,knowledge_rank_corr_with_initial,0.9999394354093246,0.9999353483566358,0.9999435224620135,30
AI-enabled,6,mean_ai_trust,0.5336672556078151,0.5324540941709456,0.5348804170446847,30
AI-enabled,6,mean_peer_trust,0.5014049778381984,0.5009594700088073,0.5018504856675895,30
AI-enabled,6,mean_tie_strength,0.5442833721637725,0.543017767083305,0.5455489772442401,30
AI-enabled,6,network_density,0.05593834057521199,0.0559131818740201,0.055963499276403886,30
AI-enabled,6,mean_weighted_degree,5.449876991996058,5.437740314600206,5.462013669391911,30
AI-enabled,6,recent_active_tie_fraction,0.5485442654997985,0.5444875795202689,0.5526009514793281,30
AI-enabled,6,mean_unique_peer_partners,5.514074074074074,5.470683299366892,5.5574648487812555,30
AI-enabled,6,mean_peer_marginal,0.00612612744045775,0.005120663663346017,0.007131591217569482,30
AI-enabled,6,ai_reliability,0.7800000000000001,0.7800000000000001,0.7800000000000001,30
AI-enabled,7,peer_share,0.36703703703703705,0.350867541657122,0.38320653241695213,30
AI-enabled,7,ai_share,0.3694444444444444,0.35361987735921263,0.3852690115296762,30
AI-enabled,7,hybrid_share,0.2635185185185185,0.24853264616519605,0.2785043908718409,30
AI-enabled,7,human_interaction_rate,0.6305555555555556,0.6147309884703238,0.6463801226407875,30
AI-enabled,7,ai_use_rate,0.6329629629629631,0.616793467583048,0.6491324583428781,30
AI-enabled,7,mean_quality,0.5073437047649256,0.5038032402372997,0.5108841692925515,30
AI-enabled,7,success_rate,0.2301851851851852,0.2176944773840199,0.24267589298635048,30
AI-enabled,7,mean_knowledge,0.5263558105885496,0.5227338369874651,0.5299777841896341,30
AI-enabled,7,knowledge_rank_corr_with_initial,0.9999232039282225,0.9999186456276292,0.9999277622288159,30
AI-enabled,7,mean_ai_trust,0.5381515548932462,0.5370351077126984,0.539268002073794,30
AI-enabled,7,mean_peer_trust,0.501625973979632,0.5011833417927527,0.5020686061665114,30
AI-enabled,7,mean_tie_strength,0.5433562497297922,0.542086942242951,0.5446255572166335,30
AI-enabled,7,network_density,0.055942478791640715,0.05591616829229182,0.05596878929098961,30
AI-enabled,7,mean_weighted_degree,5.440992908698542,5.429005836074577,5.452979981322507,30
