metric,mean_difference,ci_low,ci_high,n
final_peer_share,-0.6036074074074074,-0.6065260453089545,-0.6006887695058603,30
final_ai_share,0.35257777777777777,0.3489210682318521,0.35623448732370344,30
final_hybrid_share,0.2510296296296296,0.24846097250117977,0.25359828675807944,30
final_human_interaction_rate,-0.3525777777777777,-0.3562344873237034,-0.34892106823185204,30
final_ai_use_rate,0.6036074074074074,0.6006887695058603,0.6065260453089545,30
final_mean_quality,0.003233213268598889,0.0019490223224850347,0.004517404214712743,30
final_success_rate,0.005755555555555566,0.0011180144224858229,0.010393096688625309,30
final_mean_knowledge,0.00910058531883139,0.008247166832288941,0.009954003805373838,30
final_knowledge_gini,-0.009230305889225845,-0.009866025586191193,-0.008594586192260497,30
final_knowledge_rank_corr_with_initial,-6.231486586820342e-05,-0.0006680543120278378,0.000543424580291431,30
final_performance_gini,-0.005775581089978305,-0.006495538784573322,-0.005055623395383289,30
final_mean_ai_trust,0.5934580522010148,0.5929370267209414,0.5939790776810882,30
final_mean_peer_trust,-0.011984194835027055,-0.012870183097179038,-0.011098206572875071,30
final_mean_tie_strength,-0.01556368990739187,-0.01605759011082146,-0.015069789703962281,30
final_network_density,-0.0015635009310987007,-0.0017594620993906557,-0.0013675397628067458,30
final_mean_weighted_degree,-0.28466317185825774,-0.2954971586518741,-0.2738291850646414,30
final_recent_active_tie_fraction,-0.06268016989982521,-0.06529729468031191,-0.060063045119338514,30
final_mean_unique_peer_partners,-0.3957629629629627,-0.44756618480070887,-0.34395974112521654,30
final_mean_peer_marginal,-0.0064385057529485435,-0.006652966693628902,-0.006224044812268185,30
final_mean_ai_availability_probability,0.9129151414272197,0.9120519889062106,0.9137782939482288,30
edge_retention_ratio,0.0,0.0,0.0,30
edge_count_ratio,-0.030111111111111134,-0.034147447784664386,-0.02607477443755788,30
new_edge_ratio,-0.030111111111111106,-0.03414744778466434,-0.026074774437557874,30
strong_tie_fraction,-0.07643755009117499,-0.08031713557917546,-0.07255796460317453,30
