step,difficulty,mean_quality,mean_knowledge,mean_trust_ai,mean_trust_peer,mean_performance,peer_events,ai_events,hybrid_events,success_rate,avg_tie_strength,HIRI,AMR,gini_performance,scenario,replication
1,0.5176263851691637,0.26573499392059946,0.5328081695262308,0.4981822993728554,0.5382980880420916,0.26573499392059946,65,11,44,0.016666666666666666,0.9990971066844466,1.0,0.4583333333333333,0.1918426459481263,baseline_human_only,0
2,0.8938097418436308,0.12260552820804405,0.5363524758613264,0.4769322993728554,0.4941314213754249,0.38834052212864345,69,14,37,0.0,0.9942387733511133,0.9724770642201835,0.425,0.19369068308239337,baseline_human_only,0
3,0.844415128258089,0.15085665240605414,0.5398781439448075,0.45193229937285545,0.4462147547087582,0.5391971745346976,60,5,55,0.0,0.98896794001778,1.055045871559633,0.5,0.1799750071581062,baseline_human_only,0
4,0.492631199127289,0.2490471374022403,0.5459910121908621,0.42609896603952213,0.40263142137542485,0.7882443119369378,58,12,50,0.016666666666666666,0.9844012733511132,0.9908256880733946,0.5166666666666667,0.16039760909107637,baseline_human_only,0
5,0.34256341172839944,0.3146917729868168,0.5555545077177567,0.40651563270618873,0.3655064213754249,1.1029360849237546,73,19,28,0.058333333333333334,0.9781137733511133,0.926605504587156,0.39166666666666666,0.13866604194239088,baseline_human_only,0
6,0.8678184951774643,0.13973015690572146,0.5594263380122736,0.3840156327061887,0.31871808549405073,1.2426662418294763,66,7,47,0.0,0.9701846066844465,1.036697247706422,0.45,0.14074912311220417,baseline_human_only,0
7,0.562701646597362,0.2355399754243706,0.5652865357627607,0.3594801905423198,0.27549903890973193,1.4782062172538468,60,13,47,0.0,0.9624679400177799,0.981651376146789,0.5,0.13830443273487236,baseline_human_only,0
8,0.3244747610896858,0.29483542539089336,0.5724231424321234,0.3331190691372638,0.23724558915915547,1.77304164264474,55,16,49,0.03333333333333333,0.9554471066844467,0.9541284403669725,0.5416666666666666,0.12658494729219427,baseline_human_only,0
9,0.7772428652285441,0.1476933597261228,0.5762523793994371,0.30643979357939394,0.19826596539112618,1.920735002370863,53,20,47,0.0,0.9476346066844467,0.9174311926605505,0.5583333333333333,0.1285649678035294,baseline_human_only,0
10,0.6184505174481993,0.18609478148802194,0.5809348902043474,0.2807205327126745,0.15948529342689816,2.1068297838588848,55,14,51,0.0,0.9395679400177798,0.9724770642201835,0.5416666666666666,0.12537647142921257,baseline_human_only,0
11,0.37894676290782836,0.2664716745077285,0.5874689747885521,0.25411267347131755,0.128351931756506,2.3733014583666137,51,16,53,0.041666666666666664,0.9323846066844464,0.9541284403669725,0.575,0.12320488321671497,baseline_human_only,0
12,0.7549797902042769,0.15184087430381438,0.591914431322896,0.23036267347131759,0.09696267195555347,2.5251423326704274,60,14,46,0.0,0.9242762733511133,0.9724770642201835,0.5,0.1259086921070136,baseline_human_only,0
