dominant_requirement,mode,metric,mean,ci_low,ci_high,n
Requirement 1 dominant,AI-first,mean_quality,0.5657674928936528,0.5632441591924527,0.5682908265948529,20
Requirement 1 dominant,AI-first,mean_support_gain,0.03186470386639109,0.03090820689769631,0.03282120083508587,20
Requirement 1 dominant,Hybrid,mean_quality,0.5573852177511275,0.554720689733231,0.560049745769024,20
Requirement 1 dominant,Hybrid,mean_support_gain,0.023381883787399263,0.02266291821356945,0.024100849361229075,20
Requirement 1 dominant,Peer-first,mean_quality,0.5594745122090674,0.5558609941548133,0.5630880302633215,20
Requirement 1 dominant,Peer-first,mean_support_gain,0.014220423841229873,0.013867255080414474,0.014573592602045273,20
Requirement 2 dominant,AI-first,mean_quality,0.5385172531608633,0.5353924121049437,0.5416420942167829,20
Requirement 2 dominant,AI-first,mean_support_gain,0.01154094777520421,0.010630424399700982,0.012451471150707437,20
Requirement 2 dominant,Hybrid,mean_quality,0.5374005455559558,0.5340989435502203,0.5407021475616914,20
Requirement 2 dominant,Hybrid,mean_support_gain,0.011388730645236503,0.010788333396012798,0.011989127894460208,20
Requirement 2 dominant,Peer-first,mean_quality,0.5510870962457504,0.5469579925006613,0.5552161999908394,20
Requirement 2 dominant,Peer-first,mean_support_gain,0.014661208394747641,0.014264582222750644,0.015057834566744638,20
Requirement 3 dominant,AI-first,mean_quality,0.543727736105803,0.5409789810726359,0.5464764911389702,20
Requirement 3 dominant,AI-first,mean_support_gain,0.021090986152841683,0.019996287723735903,0.022185684581947463,20
Requirement 3 dominant,Hybrid,mean_quality,0.5403013347407403,0.5367082719829082,0.5438943974985724,20
Requirement 3 dominant,Hybrid,mean_support_gain,0.017221131837537207,0.016397479458651235,0.01804478421642318,20
Requirement 3 dominant,Peer-first,mean_quality,0.5474977917088825,0.5431376055531565,0.5518579778646084,20
Requirement 3 dominant,Peer-first,mean_support_gain,0.014736079593953084,0.014275296962304536,0.015196862225601631,20
