factor,level,value,replication,final_mean_quality,final_HIRI,final_mean_trust_peer,final_gini_performance
ai_reliability,low,0.65,0,0.21918469522948628,0.8846153846153846,0.005833333333333334,0.0928776139761422
ai_reliability,low,0.65,1,0.23382418905520144,1.0394736842105263,0.007208333333333334,0.10198716808947145
ai_reliability,low,0.65,2,0.22353338752550583,0.9333333333333333,0.0036250000000000006,0.08104338075360545
ai_reliability,low,0.65,3,0.31174308009977664,0.9012345679012346,0.013375000000000001,0.08625634588162506
ai_reliability,low,0.65,4,0.3429836643694601,1.0,0.02554166666666667,0.0791976512492238
ai_reliability,low,0.65,5,0.3972822901277276,0.9166666666666666,0.011666666666666667,0.08505319861066368
ai_reliability,base,0.82,0,0.4527388311329077,0.9529411764705882,0.015250000000000001,0.08247221480225882
ai_reliability,base,0.82,1,0.41830626033883517,0.8117647058823529,0.028396074909982773,0.08370719610166105
ai_reliability,base,0.82,2,0.4519543778884085,0.9880952380952381,0.026699998853618106,0.08507945347696819
ai_reliability,base,0.82,3,0.3830654384261259,0.925,0.03085766279526474,0.07842308756964397
ai_reliability,base,0.82,4,0.3254079316685448,0.8902439024390244,0.055097370858624206,0.09913220159147491
ai_reliability,base,0.82,5,0.3851043417296391,0.9285714285714286,0.029767928099505746,0.07786037858632029
ai_reliability,high,0.92,0,0.35364440766810384,0.8461538461538461,0.13429141163265684,0.11533048122344987
ai_reliability,high,0.92,1,0.3700276616943562,1.0256410256410255,0.06930301382015042,0.09900077230453291
ai_reliability,high,0.92,2,0.3279548554040875,0.9512195121951219,0.1205167520799973,0.10684732551528875
ai_reliability,high,0.92,3,0.32317590742362806,0.9113924050632911,0.13528778343615375,0.11365605051309766
ai_reliability,high,0.92,4,0.39506767980466945,0.8045977011494253,0.07057428087064471,0.09974105450470447
ai_reliability,high,0.92,5,0.42674603096718033,1.0684931506849316,0.12748621623703413,0.10413382924254033
ai_convenience,low,0.45,0,0.3444864870943772,0.8666666666666667,0.05463335352044499,0.08052493364281865
ai_convenience,low,0.45,1,0.33634350446802513,0.9186046511627907,0.034114427208450045,0.07496242495398663
ai_convenience,low,0.45,2,0.33224152766750925,0.8222222222222222,0.02554873113032776,0.07957343444950474
ai_convenience,low,0.45,3,0.3769185365376065,0.8522727272727273,0.049015286077181544,0.08490099911980298
ai_convenience,low,0.45,4,0.4317038027541987,0.9310344827586207,0.02121883013905946,0.0746112929901709
ai_convenience,low,0.45,5,0.33222013587105587,1.077922077922078,0.016777097043913804,0.073534869162692
ai_convenience,base,0.72,0,0.43104700884290476,0.8780487804878049,0.12873575670860146,0.10441006592101885
