replication,phase,task_choice_divergence
0,Early,0.03156704846472694
0,Late,0.01932837546801876
1,Early,0.020016034194605726
1,Late,0.0194328500808293
2,Early,0.017129036364351053
2,Late,0.026286501019455177
3,Early,0.016736110650607244
3,Late,0.021510575717726427
4,Early,0.020016382181256714
4,Late,0.031427223533597566
5,Early,0.010761302376341134
5,Late,0.03527809037261887
6,Early,0.01343633287721798
6,Late,0.014020007880297355
7,Early,0.015523584971304313
7,Late,0.017363091776999396
8,Early,0.023415202639263704
8,Late,0.012280748885986292
9,Early,0.01613686978478222
9,Late,0.03200276057424067
10,Early,0.028378879794817846
10,Late,0.01962691234356632
11,Early,0.03110700801157784
11,Late,0.028718629378552112
12,Early,0.00974333620137389
12,Late,0.03653545971798816
13,Early,0.027056575415812467
13,Late,0.03358201970074339
14,Early,0.01428209586289205
14,Late,0.02455911329693189
15,Early,0.026372766824400633
15,Late,0.032368289277763106
16,Early,0.023277075335674025
16,Late,0.016045011442168456
17,Early,0.02000820854610715
17,Late,0.03223453453868199
18,Early,0.0292683572679119
18,Late,0.01461965367066779
19,Early,0.01854702784342401
19,Late,0.020241681961877468
