phase,task_type,mode,metric,mean,ci_low,ci_high,n
Early,Contextual,AI-first,share,0.36942136399329933,0.36533066998071245,0.3735120580058862,20
Early,Contextual,Hybrid,share,0.2634782557899621,0.2600036210879005,0.2669528904920237,20
Early,Contextual,Peer-first,share,0.3671003802167386,0.36283394570311645,0.3713668147303607,20
Early,Integrative,AI-first,share,0.379374701755506,0.37357019216674253,0.3851792113442695,20
Early,Integrative,Hybrid,share,0.2627740587405169,0.2580225213305106,0.2675255961505232,20
Early,Integrative,Peer-first,share,0.3578512395039771,0.3506040523488708,0.36509842665908343,20
Early,Structured,AI-first,share,0.39014378738933436,0.3847812106687634,0.3955063641099053,20
Early,Structured,Hybrid,share,0.26284745849048097,0.2584155968935234,0.26727932008743854,20
Early,Structured,Peer-first,share,0.34700875412018456,0.34098779325791356,0.35302971498245556,20
Late,Contextual,AI-first,share,0.3484454490776722,0.34335225146499593,0.3535386466903485,20
Late,Contextual,Hybrid,share,0.2501970696224387,0.2463147225649312,0.2540794166799462,20
Late,Contextual,Peer-first,share,0.4013574812998891,0.3971555383532179,0.4055594242465603,20
Late,Integrative,AI-first,share,0.35917965610826164,0.3535053387299708,0.36485397348655246,20
Late,Integrative,Hybrid,share,0.2522102798744879,0.24694395663955823,0.25747660310941756,20
Late,Integrative,Peer-first,share,0.38861006401725046,0.38273931913842374,0.3944808088960772,20
Late,Structured,AI-first,share,0.3732373999336446,0.36848444880125114,0.377990351066038,20
Late,Structured,Hybrid,share,0.24942390466715098,0.24611248948381179,0.2527353198504902,20
Late,Structured,Peer-first,share,0.37733869539920445,0.37229924922487834,0.38237814157353056,20
