replication,seed,runtime_seconds
0,20260821,11.350923299789429
1,20261830,11.106431245803833
2,20262839,10.962597370147705
3,20263848,10.999884128570557
4,20264857,10.935041189193726
5,20265866,11.593656539916992
6,20266875,11.069977521896362
7,20267884,11.054383039474487
8,20268893,11.177791118621826
9,20269902,11.004360675811768
10,20270911,11.486924648284912
11,20271920,11.172292470932007
12,20272929,11.371381282806396
13,20273938,11.282917022705078
14,20274947,11.0662202835083
15,20275956,11.334816694259644
16,20276965,11.654329061508179
17,20277974,11.113328456878662
18,20278983,10.986062288284302
19,20279992,11.046385526657104
