replication,task_type,mode,mean_quality,mean_support_gain,success_rate,mean_difficulty,mean_solo_quality,n_events
0,Contextual,AI-first,0.5426055883869443,0.010059268965225823,0.2940627914205782,0.5783634066156644,0.5325463194217185,3217
0,Contextual,Hybrid,0.537318841049246,0.01154996541682692,0.2731936725096195,0.5782236885966971,0.525768875632419,2339
0,Contextual,Peer-first,0.5518310564265617,0.015337486449774689,0.3065442020665901,0.5824631277328625,0.536493569976787,3484
0,Integrative,AI-first,0.5495759911822184,0.022090122514986318,0.3226735811005474,0.5795875830356124,0.5274858686672321,3471
0,Integrative,Hybrid,0.5453262614218825,0.017647201811664775,0.3107173725151253,0.5816199593680962,0.5276790596102177,2314
0,Integrative,Peer-first,0.5550146939321711,0.015091685034480088,0.33209417596034696,0.5776339267742024,0.539923008897691,3228
0,Structured,AI-first,0.5724929108768413,0.03343298735885566,0.41688424717145345,0.5809426607622922,0.5390599235179857,3447
0,Structured,Hybrid,0.5575054883035107,0.027116110254462547,0.38776389487289964,0.5764869815502545,0.5303893780490481,2321
0,Structured,Peer-first,0.5623934243601456,0.014031389155484074,0.40327146901541366,0.5794207947397757,0.5483620352046615,3179
1,Contextual,AI-first,0.5497120766069341,0.008265877838650992,0.30292322518470927,0.578195471047464,0.5414461987682831,3113
1,Contextual,Hybrid,0.5517391078121667,0.009331307135264921,0.31090987494609745,0.5835476314145368,0.5424078006769018,2319
1,Contextual,Peer-first,0.5695325831501427,0.014759506845877015,0.346031746031746,0.5816827414617948,0.5547730763042658,3465
1,Integrative,AI-first,0.557077045969355,0.018741447409024597,0.3404514948139109,0.5806164484597983,0.5383355985603304,3278
1,Integrative,Hybrid,0.5613501031713566,0.015325860912053286,0.3581110625273284,0.5798326911893658,0.5460242422593033,2287
1,Integrative,Peer-first,0.5671949862274918,0.01424232165002206,0.37439954789488555,0.5827170995962861,0.5529526645774696,3539
1,Structured,AI-first,0.5767208305791195,0.0331652654983815,0.4279622296679866,0.5819181593664002,0.5435555650807381,3283
1,Structured,Hybrid,0.5749092146194777,0.022983218632212803,0.4254754533392304,0.5776597297538696,0.5519259959872649,2261
1,Structured,Peer-first,0.5752472416992273,0.01512115784957337,0.44138929088277856,0.5752082587094609,0.5601260838496538,3455
2,Contextual,AI-first,0.5222031671646358,0.013452421522857048,0.23462346234623463,0.5848701169666047,0.5087507456417787,3333
2,Contextual,Hybrid,0.525525191522653,0.014115300176445047,0.2534843205574913,0.578997660573451,0.5114098913462078,2296
2,Contextual,Peer-first,0.534761872617087,0.01419880332869011,0.2808446455505279,0.5802524082471795,0.5205630692883968,3315
2,Integrative,AI-first,0.536754662274366,0.026380967354615724,0.28145304193738924,0.5800933668690672,0.5103736949197502,3386
2,Integrative,Hybrid,0.5333338480385855,0.018600857222063675,0.2824858757062147,0.5782836432198423,0.5147329908165218,2301
2,Integrative,Peer-first,0.5339314882662514,0.014129763955552708,0.2982028632348462,0.5793271613707642,0.5198017243106986,3283
2,Structured,AI-first,0.5592476270838151,0.03879831995436734,0.3802112284602557,0.5785773877436832,0.5204493071294477,3598
2,Structured,Hybrid,0.5472654319063678,0.02918498985373637,0.3492407809110629,0.5786961443149656,0.5180804420526313,2305
2,Structured,Peer-first,0.5413073151845416,0.014237391267693581,0.3459000942507069,0.5803912074577334,0.527069923916848,3183
3,Contextual,AI-first,0.5381818425803523,0.008459746984562694,0.2721875,0.5794709937894362,0.5297220955957895,3200
3,Contextual,Hybrid,0.5369261660012792,0.009778190232491246,0.2628091872791519,0.5789829551346776,0.527147975768788,2264
3,Contextual,Peer-first,0.5472916400898309,0.014335464779253593,0.28278805120910383,0.5819221992386079,0.5329561753105773,3515
3,Integrative,AI-first,0.550799952390541,0.020017954036264784,0.32133131618759453,0.5790644985020674,0.5307819983542763,3305
3,Integrative,Hybrid,0.5457566365853738,0.016170563063775397,0.30856149500217295,0.5822181792297831,0.5295860735215984,2301
3,Integrative,Peer-first,0.5548370684971222,0.01463794598254133,0.3311802701115678,0.5801745941140908,0.5401991225145809,3406
3,Structured,AI-first,0.5720895184826044,0.02987740458142252,0.4201850780798149,0.5796431730397584,0.5422121139011818,3458
3,Structured,Hybrid,0.5610606275687797,0.0235626093059582,0.3912087912087912,0.5816855337224387,0.5374980182628215,2275
3,Structured,Peer-first,0.5596206467325985,0.0143084911492705,0.38461538461538464,0.5819169639958467,0.545312155583328,3276
4,Contextual,AI-first,0.5328560786186304,0.011453208382876664,0.25973217066334475,0.5822004869100312,0.5214028702357538,3211
4,Contextual,Hybrid,0.5321201568833901,0.011232147544286504,0.2560106856634016,0.5797493197020834,0.5208880093391036,2246
4,Contextual,Peer-first,0.5460791515677696,0.015781489398779266,0.3007900677200903,0.579361281849666,0.5302976621689904,3544
4,Integrative,AI-first,0.5422840844467152,0.02237322057692236,0.2932577565632458,0.5831333898315364,0.5199108638697928,3352
4,Integrative,Hybrid,0.5378512950079036,0.01860676848075069,0.29568251199302226,0.5839381344261195,0.5192445265271529,2293
4,Integrative,Peer-first,0.548528368013784,0.014231854789425328,0.3343903142115884,0.5778039416674148,0.5342965132243588,3469
4,Structured,AI-first,0.5676110371589991,0.03433506932479728,0.4103911266783421,0.5797678596229447,0.5332759678342018,3426
4,Structured,Hybrid,0.5546247489861033,0.025599090796675803,0.37805983680870353,0.5784433244459213,0.5290256581894276,2206
4,Structured,Peer-first,0.5563081646560323,0.016496085575232463,0.38794958499846294,0.5808949561269949,0.5398120790807999,3253
5,Contextual,AI-first,0.5314392242393606,0.011832505664226858,0.2565789473684211,0.5783786964385099,0.5196067185751337,3192
5,Contextual,Hybrid,0.5307756827344322,0.01075736169560999,0.264820424058849,0.5818890264287829,0.5200183210388223,2311
5,Contextual,Peer-first,0.5438138191388575,0.014326569577682647,0.29416761041902606,0.5796090135844122,0.5294872495611749,3532
5,Integrative,AI-first,0.5413045498367,0.02250316815605165,0.2878742062292108,0.5839413311410647,0.5188013816806483,3307
5,Integrative,Hybrid,0.544671569665275,0.01667199213526499,0.31252747252747254,0.5770666023275365,0.52799957753001,2275
5,Integrative,Peer-first,0.5488206079231365,0.013821719139993152,0.3167249417249417,0.5807645586004921,0.5349988887831433,3432
5,Structured,AI-first,0.56783913235299,0.033791463848845585,0.4066705675833821,0.5812581458342064,0.5340476685041444,3418
5,Structured,Hybrid,0.5575798062028833,0.025402598844980456,0.38414634146341464,0.5829978393149737,0.5321772073579029,2296
5,Structured,Peer-first,0.561474013199986,0.01527141449498282,0.4028421377818968,0.5810333816986588,0.5462025987050031,3237
6,Contextual,AI-first,0.5404738922050231,0.00990472205421032,0.28592995169082125,0.574376233805503,0.5305691701508127,3312
6,Contextual,Hybrid,0.5410369750203455,0.01029768559198905,0.28008474576271186,0.5818454318160996,0.5307392894283566,2360
6,Contextual,Peer-first,0.5565794339692645,0.014945315869526488,0.32951289398280803,0.5774302101403272,0.5416341180997379,3490
6,Integrative,AI-first,0.5491684791229158,0.02080083359834571,0.3196969696969697,0.5785329935002854,0.52836764552457,3300
6,Integrative,Hybrid,0.547627515423284,0.017276234042288136,0.32661113546690046,0.5771749460241534,0.530351281380996,2281
6,Integrative,Peer-first,0.5502195712071085,0.014736391577149453,0.330188679245283,0.5834373495590577,0.5354831796299591,3286
6,Structured,AI-first,0.5657124602748299,0.033985844971895024,0.3941541186891054,0.5810165291298335,0.531726615302935,3387
6,Structured,Hybrid,0.5580592246514959,0.024471038547763006,0.3777490297542044,0.5805302544302361,0.5335881861037329,2319
6,Structured,Peer-first,0.5581410724096936,0.014247176021778664,0.3901990811638591,0.5804376553592117,0.543893896387915,3265
